ticker,10日平均売買代金,10日中央値売買代金,除外,銘柄名,市場・商品区分,33業種区分
9367.T,2194600.0,2525500.0,True,大東港運,スタンダード（内国株式）,倉庫・運輸関連業
9368.T,18346510.0,15588400.0,True,キムラユニティー,スタンダード（内国株式）,倉庫・運輸関連業
9369.T,89670660.0,88535550.0,True,キユーソー流通システム,スタンダード（内国株式）,倉庫・運輸関連業
9376.T,2897700.0,2469050.0,True,ユーラシア旅行社,スタンダード（内国株式）,サービス業
9380.T,4520840.0,4480000.0,True,東海運,スタンダード（内国株式）,倉庫・運輸関連業
9381.T,34171560.0,36786400.0,True,エーアイテイー,プライム（内国株式）,倉庫・運輸関連業
9385.T,5156620.0,4912500.0,True,ショーエイコーポレーション,スタンダード（内国株式）,化学
9401.T,1648543410.0,1518187550.0,False,ＴＢＳホールディングス,プライム（内国株式）,情報・通信業
9404.T,1515054145.0,1491540400.0,False,日本テレビホールディングス,プライム（内国株式）,情報・通信業
9405.T,79829970.0,75350750.0,True,朝日放送グループホールディングス,プライム（内国株式）,情報・通信業
9408.T,210300.0,0.0,True,ＢＳＮメディアホールディングス,スタンダード（内国株式）,情報・通信業
9409.T,678600050.0,594394000.0,False,テレビ朝日ホールディングス,プライム（内国株式）,情報・通信業
9412.T,3444924130.0,2787569800.0,False,スカパーＪＳＡＴ,プライム（内国株式）,情報・通信業
9413.T,245702200.0,198537500.0,False,テレビ東京ホールディングス,プライム（内国株式）,情報・通信業
9414.T,235667130.0,63894550.0,True,日本ＢＳ放送,スタンダード（内国株式）,情報・通信業
9416.T,266969020.0,260937200.0,False,ビジョン,プライム（内国株式）,情報・通信業
9417.T,1612670.0,965600.0,True,スマートバリュー,スタンダード（内国株式）,情報・通信業
9418.T,868760160.0,733634000.0,False,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,プライム（内国株式）,情報・通信業
9419.T,3866760.0,3352900.0,True,ワイヤレスゲート,スタンダード（内国株式）,情報・通信業
9421.T,918980.0,801400.0,True,エヌジェイホールディングス,スタンダード（内国株式）,情報・通信業
9423.T,9920060.0,10248000.0,True,フォーバル・リアルストレート,スタンダード（内国株式）,情報・通信業
9424.T,222659240.0,177747250.0,False,日本通信,プライム（内国株式）,情報・通信業
9425.T,287037660.0,188632000.0,False,ＲｅＹｕｕ　Ｊａｐａｎ,スタンダード（内国株式）,情報・通信業
9428.T,1809060.0,1124350.0,True,クロップス,スタンダード（内国株式）,情報・通信業
9432.T,34643755775.57434,35283687373.29559,False,ＮＴＴ,プライム（内国株式）,情報・通信業
9433.T,24713504835.0,22291260400.0,False,ＫＤＤＩ,プライム（内国株式）,情報・通信業
9434.T,19289556981.42227,19860333933.47931,False,ソフトバンク,プライム（内国株式）,情報・通信業
94345.T,17722720.0,13502500.0,True,ソフトバンク第１回社債型種類株式,プライム（内国株式）,情報・通信業
94346.T,35387460.0,27669100.0,True,ソフトバンク第２回社債型種類株式,プライム（内国株式）,情報・通信業
9435.T,2454341700.0,2319947000.0,False,光通信,プライム（内国株式）,情報・通信業
9436.T,639841200.0,571284250.0,False,沖縄セルラー電話,スタンダード（内国株式）,情報・通信業
9438.T,16899860.0,16384400.0,True,エムティーアイ,プライム（内国株式）,情報・通信業
9439.T,1328740.0,1317100.0,True,エム・エイチ・グループ,スタンダード（内国株式）,サービス業
9441.T,8030280.0,7760700.0,True,ベルパーク,スタンダード（内国株式）,情報・通信業
9444.T,6029020.0,2275750.0,True,トーシンホールディングス,スタンダード（内国株式）,情報・通信業
9445.T,967180.0,535200.0,True,フォーバルテレコム,スタンダード（内国株式）,情報・通信業
9446.T,1742650.0,1137750.0,True,サカイホールディングス,スタンダード（内国株式）,情報・通信業
9449.T,1032808170.0,964075400.0,False,ＧＭＯインターネットグループ,プライム（内国株式）,情報・通信業
9450.T,25493080.0,25250800.0,True,ファイバーゲート,スタンダード（内国株式）,情報・通信業
9466.T,1072410.0,832550.0,True,アイドママーケティングコミュニケーション,スタンダード（内国株式）,情報・通信業
9467.T,116632600.0,111742950.0,False,アルファポリス,グロース（内国株式）,情報・通信業
9468.T,1272843660.0,955639350.0,False,ＫＡＤＯＫＡＷＡ,プライム（内国株式）,情報・通信業
9470.T,249875770.0,253103550.0,False,学研ホールディングス,プライム（内国株式）,情報・通信業
9474.T,104778730.0,103202350.0,False,ゼンリン,プライム（内国株式）,情報・通信業
9475.T,1226560.0,972650.0,True,昭文社ホールディングス,スタンダード（内国株式）,情報・通信業
9476.T,1635270.0,351100.0,True,中央経済社ホールディングス,スタンダード（内国株式）,情報・通信業
9478.T,4390060.0,3544350.0,True,ＳＥホールディングス・アンド・インキュベーションズ,スタンダード（内国株式）,情報・通信業
9501.T,19807264762.165527,19242797281.866455,False,東京電力ホールディングス,プライム（内国株式）,電気・ガス業
9502.T,9132037675.0,6960700200.0,False,中部電力,プライム（内国株式）,電気・ガス業
9503.T,11665889440.0,11590140300.0,False,関西電力,プライム（内国株式）,電気・ガス業
9504.T,2322206380.0,2075526300.0,False,中国電力,プライム（内国株式）,電気・ガス業
9505.T,1129500140.0,1007138475.0,False,北陸電力,プライム（内国株式）,電気・ガス業
9506.T,7088205120.0,6891190000.0,False,東北電力,プライム（内国株式）,電気・ガス業
9507.T,3263314625.0,2882552825.0,False,四国電力,プライム（内国株式）,電気・ガス業
9508.T,4729713865.0,4286614000.0,False,九州電力,プライム（内国株式）,電気・ガス業
9509.T,2161520265.0,2009669125.0,False,北海道電力,プライム（内国株式）,電気・ガス業
9511.T,356711760.0,306786700.0,False,沖縄電力,プライム（内国株式）,電気・ガス業
9513.T,2084323400.0,1884008750.0,False,電源開発,プライム（内国株式）,電気・ガス業
9514.T,39446920.0,34891800.0,True,エフオン,スタンダード（内国株式）,電気・ガス業
9517.T,155805410.0,153406750.0,False,イーレックス,プライム（内国株式）,電気・ガス業
9519.T,693907610.0,672289200.0,False,レノバ,プライム（内国株式）,電気・ガス業
9531.T,5781027170.0,5405418450.0,False,東京瓦斯,プライム（内国株式）,電気・ガス業
9532.T,6097874820.0,5638979200.0,False,大阪瓦斯,プライム（内国株式）,電気・ガス業
9533.T,1048694050.0,865474025.0,False,東邦瓦斯,プライム（内国株式）,電気・ガス業
9534.T,312397470.0,299559000.0,False,北海道瓦斯,プライム（内国株式）,電気・ガス業
9535.T,36248010.0,32976850.0,True,広島ガス,プライム（内国株式）,電気・ガス業
9536.T,362431090.0,288433300.0,False,西部ガスホールディングス,プライム（内国株式）,電気・ガス業
9537.T,2966250.0,2366250.0,True,北陸瓦斯,スタンダード（内国株式）,電気・ガス業
9539.T,3443960.0,2889250.0,True,京葉瓦斯,スタンダード（内国株式）,電気・ガス業
9543.T,200422570.0,181929950.0,False,静岡ガス,プライム（内国株式）,電気・ガス業
9551.T,310760250.0,271029250.0,False,メタウォーター,プライム（内国株式）,電気・ガス業
9552.T,307091410.0,310398800.0,False,クオンツ総研ホールディングス,プライム（内国株式）,サービス業
9553.T,47548560.0,39186200.0,True,マイクロアド,グロース（内国株式）,サービス業
9554.T,43484090.0,42618700.0,True,ＡＶｉＣ,グロース（内国株式）,サービス業
9556.T,310398970.0,179147200.0,False,ＩＮＴＬＯＯＰ,グロース（内国株式）,サービス業
9557.T,25112450.0,4853650.0,True,エアークローゼット,グロース（内国株式）,サービス業
9558.T,4666930.0,4610800.0,True,ジャパニアス,グロース（内国株式）,サービス業
9560.T,22762990.0,27649150.0,True,プログリット,グロース（内国株式）,サービス業
9561.T,6854780.0,2966300.0,True,グラッドキューブ,グロース（内国株式）,サービス業
9562.T,5835150.0,5533400.0,True,ビジネスコーチ,グロース（内国株式）,サービス業
9563.T,10388040.0,5558300.0,True,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,サービス業
9564.T,19966820.0,17565750.0,True,ＦＣＥ,スタンダード（内国株式）,サービス業
9565.T,967900.0,753400.0,True,ＧＬＯＥ,グロース（内国株式）,サービス業
9601.T,479737600.0,423130000.0,False,松竹,プライム（内国株式）,情報・通信業
9602.T,4469415655.0,4232873550.0,False,東宝,プライム（内国株式）,情報・通信業
9603.T,587204930.0,515595450.0,False,エイチ・アイ・エス,プライム（内国株式）,サービス業
9605.T,325570900.0,288651500.0,False,東映,プライム（内国株式）,情報・通信業
9610.T,43504940.0,24535900.0,True,ウィルソン・ラーニング　ワールドワイド,スタンダード（内国株式）,サービス業
9612.T,51441810.0,46318500.0,True,ラックランド,プライム（内国株式）,サービス業
9616.T,2500316410.0,2554174750.0,False,共立メンテナンス,プライム（内国株式）,サービス業
9619.T,88853670.0,89360950.0,True,イチネンホールディングス,プライム（内国株式）,サービス業
9621.T,188777550.0,185007750.0,False,建設技術研究所,プライム（内国株式）,サービス業
9622.T,50907290.0,42889150.0,True,スペース,プライム（内国株式）,サービス業
9625.T,2468370.0,2512300.0,True,セレスポ,スタンダード（内国株式）,サービス業
9627.T,894491480.0,726311550.0,False,アインホールディングス,プライム（内国株式）,小売業
9628.T,82822820.0,81871700.0,True,燦ホールディングス,プライム（内国株式）,サービス業
9629.T,33832570.0,35015700.0,True,ピー・シー・エー,プライム（内国株式）,情報・通信業
9632.T,73612050.0,42315500.0,True,スバル興業,スタンダード（内国株式）,サービス業
9633.T,8397730.0,8083400.0,True,東京テアトル,スタンダード（内国株式）,不動産業
9635.T,1055650.0,893050.0,True,武蔵野興業,スタンダード（内国株式）,サービス業
9636.T,11082800.0,4624500.0,True,きんえい,スタンダード（内国株式）,サービス業
9639.T,13909100.0,13060600.0,True,三協フロンテア,スタンダード（内国株式）,サービス業
9640.T,8277790.0,5833100.0,True,セゾンテクノロジー,スタンダード（内国株式）,情報・通信業
